id,portalId,createdAt,type
3981023,62515,2015-03-31,PUBLISHING_TASK
4318933,62515,2015-04-09,NOTE
4709059,62515,2015-04-09,CALL
4709069,62515,2015-04-09,CALL
4742029,62515,2015-04-10,NOTE
4815722,62515,2015-04-18,NOTE
4816127,62515,2015-04-18,NOTE
4941772,62515,2015-04-22,TASK
5415009,62515,2015-04-15,CALL
7609246,62515,2015-06-06,TASK
8712058,62515,2015-06-25,TASK
9737953,62515,2015-07-08,TASK
10713950,62515,2015-08-18,CALL
10859302,62515,2015-08-18,TASK
10988879,62515,2015-07-13,PUBLISHING_TASK
11527994,62515,2015-07-17,NOTE
12613190,62515,2015-10-08,EMAIL
12908429,62515,2015-07-21,NOTE
16681830,62515,2015-11-18,NOTE
25619308,62515,2015-08-18,TASK
25692718,62515,2015-08-18,NOTE
26030062,62515,2015-12-17,NOTE
26907325,62515,2015-12-25,NOTE
27550902,62515,2016-01-18,TASK
27552252,62515,2016-01-18,TASK
27654195,62515,2016-01-29,NOTE
27654670,62515,2016-01-29,TASK
28544935,62515,2016-02-02,NOTE
28548465,62515,2016-02-02,NOTE
28697927,62515,2016-01-22,TASK
28698412,62515,2016-01-22,TASK
29082800,62515,2016-02-06,CALL
29090716,62515,2015-10-08,NOTE
30482095,62515,2016-02-09,NOTE
31992342,62515,2016-02-20,NOTE
31992347,62515,2016-02-20,NOTE
31992407,62515,2016-02-20,NOTE
31992412,62515,2016-02-20,NOTE
31992417,62515,2016-02-20,NOTE
31992437,62515,2016-02-20,NOTE
31992447,62515,2016-02-20,NOTE
31992452,62515,2016-02-20,NOTE
31992462,62515,2016-02-20,NOTE
31992472,62515,2016-02-20,NOTE
31992507,62515,2016-02-20,NOTE
31992517,62515,2016-02-20,NOTE
31992597,62515,2016-02-20,NOTE
31999257,62515,2016-02-21,NOTE
32000052,62515,2016-02-21,NOTE
32000157,62515,2016-02-21,NOTE
32000167,62515,2016-02-21,NOTE
32000372,62515,2016-02-21,NOTE
32000397,62515,2016-02-21,NOTE
32001297,62515,2016-02-21,NOTE
32001302,62515,2016-02-21,NOTE
32010671,62515,2015-11-04,NOTE
32015407,62515,2016-02-21,NOTE
32015587,62515,2016-02-21,NOTE
32015592,62515,2016-02-21,NOTE
32547037,62515,2016-02-24,NOTE
35754742,62515,2016-03-04,TASK
35754747,62515,2016-03-04,TASK
35913267,62515,2016-03-05,TASK
36419137,62515,2016-03-07,TASK
36433847,62515,2016-03-07,TASK
36508165,62515,2016-02-20,NOTE
36508180,62515,2016-02-20,NOTE
36508185,62515,2016-02-20,NOTE
36508215,62515,2016-02-20,NOTE
36508220,62515,2016-02-20,NOTE
36508225,62515,2016-02-20,NOTE
36508290,62515,2016-02-20,NOTE
36508300,62515,2016-02-20,NOTE
36508350,62515,2016-02-20,NOTE
36508405,62515,2016-02-20,NOTE
36508420,62515,2016-02-20,NOTE
36508425,62515,2016-02-20,NOTE
36508430,62515,2016-02-20,NOTE
36508445,62515,2016-02-20,NOTE
36508540,62515,2016-02-20,NOTE
36508545,62515,2016-02-20,NOTE
36508550,62515,2016-02-20,NOTE
36508755,62515,2016-02-20,NOTE
36508770,62515,2016-02-20,NOTE
36528205,62515,2016-02-21,NOTE
36528705,62515,2016-02-21,NOTE
36528920,62515,2016-02-21,NOTE
36528990,62515,2016-02-21,NOTE
36529445,62515,2016-02-21,NOTE
36530545,62515,2016-02-21,NOTE
36530990,62515,2016-02-21,NOTE
36531410,62515,2016-02-21,NOTE
36531860,62515,2016-02-21,NOTE
36532130,62515,2016-02-21,NOTE
36532630,62515,2016-02-21,NOTE
36532650,62515,2016-02-21,NOTE
36532655,62515,2016-02-21,NOTE
36533075,62515,2016-02-21,NOTE
36533455,62515,2016-02-21,NOTE
36579065,62515,2016-02-21,NOTE
36579075,62515,2016-02-21,NOTE
36579080,62515,2016-02-21,NOTE
36579560,62515,2016-02-21,NOTE
36579870,62515,2016-02-21,NOTE
36579880,62515,2016-02-21,NOTE
36580145,62515,2016-02-21,NOTE
36774617,62515,2016-03-08,TASK
37704235,62515,2016-02-23,NOTE
37783110,62515,2016-02-23,NOTE
37783905,62515,2016-02-23,NOTE
37939281,62515,2015-12-29,NOTE
38180455,62515,2016-02-24,NOTE
38180535,62515,2016-02-24,NOTE
38186375,62515,2016-02-24,NOTE
38192350,62515,2016-02-24,NOTE
38348888,62515,2015-10-08,NOTE
39181562,62515,2016-03-20,NOTE
39181797,62515,2016-03-20,NOTE
39181802,62515,2016-03-20,NOTE
39182232,62515,2016-03-20,NOTE
39182237,62515,2016-03-20,NOTE
39182712,62515,2016-03-20,NOTE
39183532,62515,2016-03-20,NOTE
39183547,62515,2016-03-20,NOTE
39195397,62515,2016-03-20,NOTE
39195402,62515,2016-03-20,NOTE
39195767,62515,2016-03-20,NOTE
39195772,62515,2016-03-20,NOTE
39216972,62515,2016-03-20,NOTE
39217232,62515,2016-03-20,NOTE
39217242,62515,2016-03-20,NOTE
39217437,62515,2016-03-20,NOTE
39217442,62515,2016-03-20,NOTE
39217447,62515,2016-03-20,NOTE
39241762,62515,2016-03-21,NOTE
39242642,62515,2016-03-21,NOTE
39564978,62515,2015-10-10,NOTE
39601968,62515,2015-10-10,CALL
39602058,62515,2015-10-10,EMAIL
39618603,62515,2015-10-10,MEETING
39618903,62515,2015-10-10,TASK
39642591,62515,2016-01-08,TASK
39694002,62515,2016-03-22,NOTE
39694052,62515,2016-03-22,NOTE
40064476,62515,2016-01-11,TASK
40074806,62515,2016-01-12,TASK
40075726,62515,2016-01-12,TASK
40076046,62515,2016-01-12,TASK
40076381,62515,2016-01-12,TASK
40076516,62515,2016-01-12,TASK
40278612,62515,2016-03-23,PUBLISHING_TASK
40607131,62515,2016-01-13,TASK
40607146,62515,2016-01-13,TASK
40607361,62515,2016-01-13,TASK
40607591,62515,2016-01-13,TASK
40780180,62515,2016-03-07,TASK
40831076,62515,2016-01-14,TASK
40836556,62515,2016-01-14,TASK
40842936,62515,2016-01-14,TASK
40843631,62515,2016-01-14,TASK
40875692,62515,2016-03-24,EMAIL
40889542,62515,2016-03-24,EMAIL
40889612,62515,2016-03-24,EMAIL
41067391,62515,2016-01-15,TASK
41203125,62515,2016-03-08,TASK
42173607,62515,2016-03-29,NOTE
42173972,62515,2016-03-29,NOTE
42947284,62515,2015-12-29,MEETING
42947344,62515,2015-12-29,TASK
42947404,62515,2015-12-29,MEETING
44122174,62515,2015-12-30,NOTE
44530774,62515,2015-12-31,PUBLISHING_TASK
44809210,62515,2016-03-16,EMAIL
44809230,62515,2016-03-16,EMAIL
44809375,62515,2016-03-16,NOTE
44811955,62515,2016-03-16,EMAIL
44815030,62515,2016-03-16,EMAIL
45015383,62515,2015-10-25,CALL
46268120,62515,2016-03-18,NOTE
46270370,62515,2016-03-18,NOTE
46438074,62515,2016-01-07,NOTE
46438839,62515,2016-01-07,CALL
46462729,62515,2016-01-07,CALL
46468004,62515,2016-01-08,TASK
46887579,62515,2016-01-08,TASK
46888869,62515,2016-01-08,TASK
46889384,62515,2016-01-08,TASK
46892674,62515,2016-01-08,TASK
47223809,62515,2016-01-09,NOTE
47846405,62515,2016-03-19,NOTE
47846410,62515,2016-03-19,NOTE
47847570,62515,2016-03-20,NOTE
47847610,62515,2016-03-20,NOTE
47847615,62515,2016-03-20,NOTE
47848885,62515,2016-03-20,NOTE
47848900,62515,2016-03-20,NOTE
47849400,62515,2016-03-20,NOTE
47850475,62515,2016-03-20,NOTE
47850995,62515,2016-03-20,NOTE
47851035,62515,2016-03-20,NOTE
47851040,62515,2016-03-20,NOTE
47851920,62515,2016-03-20,NOTE
47870884,62515,2016-01-11,TASK
47872704,62515,2016-01-11,TASK
47880614,62515,2016-01-12,TASK
47883390,62515,2016-03-20,NOTE
47883960,62515,2016-03-20,NOTE
47883970,62515,2016-03-20,NOTE
47883975,62515,2016-03-20,NOTE
47884855,62515,2016-03-20,NOTE
47884860,62515,2016-03-20,NOTE
47884865,62515,2016-03-20,NOTE
47885825,62515,2016-03-20,NOTE
47941970,62515,2016-03-20,NOTE
47941980,62515,2016-03-20,NOTE
47942380,62515,2016-03-20,NOTE
47942400,62515,2016-03-20,NOTE
47942720,62515,2016-03-20,NOTE
47942725,62515,2016-03-20,NOTE
47943105,62515,2016-03-20,NOTE
47943625,62515,2016-03-20,NOTE
47943970,62515,2016-03-20,NOTE
47944255,62515,2016-03-20,NOTE
47944280,62515,2016-03-20,NOTE
47944290,62515,2016-03-20,NOTE
48010565,62515,2016-03-21,NOTE
48010575,62515,2016-03-21,NOTE
48011205,62515,2016-03-21,NOTE
48011980,62515,2016-03-21,NOTE
48011990,62515,2016-03-21,NOTE
48012740,62515,2016-03-21,NOTE
48012765,62515,2016-03-21,NOTE
48139104,62515,2016-01-12,NOTE
49142604,62515,2016-01-13,TASK
49143704,62515,2016-01-13,TASK
49143724,62515,2016-01-13,TASK
49143789,62515,2016-01-13,TASK
49778654,62515,2016-01-14,TASK
49778714,62515,2016-01-14,TASK
49779749,62515,2016-01-14,PUBLISHING_TASK
49782784,62515,2016-01-14,TASK
49782929,62515,2016-01-14,TASK
49783559,62515,2016-01-14,TASK
49818134,62515,2016-01-14,TASK
49818469,62515,2016-01-14,TASK
49818699,62515,2016-01-14,TASK
49820174,62515,2016-01-14,TASK
50474289,62515,2016-01-15,TASK
51156534,62515,2016-01-18,TASK
51484873,62515,2015-12-17,NOTE
