createdAt,type,14DayAvg
2017-01-20,PUBLISHING_TASK,2.5000
2017-01-24,PUBLISHING_TASK,2.0000
2017-02-04,CALL,1.0000
2017-02-04,NOTE,1.0000
2017-02-14,NOTE,1.5000
2017-02-16,EMAIL,1.0000
2017-02-16,NOTE,3.6667
2017-02-16,TASK,1.0000
2017-02-17,MEETING,1.0000
2017-02-17,NOTE,3.5000
2017-02-19,NOTE,3.7500
2017-02-21,PUBLISHING_TASK,1.0000
2017-02-22,NOTE,3.2000
2017-02-23,EMAIL,1.0000
2017-02-23,MEETING,1.0000
2017-02-23,NOTE,3.0000
2017-02-23,TASK,1.0000
2017-03-03,CALL,23.0000
2017-03-04,CALL,31.5000
2017-03-06,CALL,29.3333
2017-03-08,TASK,1.5000
2017-03-12,NOTE,1.0000
2017-03-13,TASK,1.5000
2017-03-14,NOTE,1.0000
2017-03-19,NOTE,1.0000
2017-03-22,NOTE,1.0000
2017-03-23,PUBLISHING_TASK,1.0000
2017-03-30,TASK,1.0000
2017-04-04,MEETING,2.0000
2017-04-04,TASK,1.0000
2017-04-05,NOTE,4.0000
2017-04-06,NOTE,4.5000
2017-04-07,NOTE,9.6667
2017-04-07,TASK,1.0000
2017-04-10,EMAIL,1.0000
2017-04-10,NOTE,7.5000
2017-04-10,TASK,1.0000
2017-04-11,MEETING,2.0000
2017-04-11,NOTE,6.4000
2017-04-12,NOTE,5.5000
2017-04-19,CALL,1.0000
2017-04-19,NOTE,5.0000
2017-04-27,NOTE,1.0000
2017-05-04,EMAIL,2.0000
2017-05-04,NOTE,1.0000
2017-05-04,TASK,2.0000
2017-05-05,EMAIL,5.5000
2017-05-08,CALL,26.0000
2017-05-08,NOTE,1.3333
2017-05-09,CALL,22.5000
2017-05-09,NOTE,1.5000
2017-05-10,CALL,15.3333
2017-05-10,NOTE,1.8000
2017-05-11,CALL,11.7500
2017-05-11,PUBLISHING_TASK,1.0000
2017-05-13,PUBLISHING_TASK,1.0000
2017-05-15,CALL,11.8000
2017-05-15,PUBLISHING_TASK,1.0000
2017-05-16,NOTE,1.8000
2017-05-17,MEETING,2.0000
2017-05-17,NOTE,2.8333
2017-05-17,TASK,2.0000
2017-05-18,NOTE,3.5000
2017-05-18,TASK,1.5000
2017-05-22,NOTE,3.5000
2017-05-23,NOTE,4.1667
2017-05-24,TASK,4.6667
2017-05-25,TASK,7.7500
2017-06-05,CALL,1.0000
2017-06-06,NOTE,1.0000
2017-06-06,TASK,17.6667
2017-06-14,NOTE,1.0000
2017-06-15,PUBLISHING_TASK,1.0000
2017-06-17,CALL,1.0000
2017-06-17,NOTE,1.0000
2017-06-20,CALL,3.0000
2017-06-23,PUBLISHING_TASK,1.0000
2017-06-23,TASK,1.0000
2017-06-26,EMAIL,2.0000
2017-06-27,EMAIL,2.0000
2017-06-28,EMAIL,4.0000
2017-07-01,NOTE,2.0000
2017-07-03,EMAIL,3.2500
2017-07-04,EMAIL,4.0000
2017-07-05,EMAIL,3.5000
2017-07-05,PUBLISHING_TASK,1.5000
2017-07-06,CALL,1.0000
2017-07-07,NOTE,1.5000
2017-07-07,TASK,5.0000
2017-07-08,TASK,3.5000
2017-07-09,PUBLISHING_TASK,1.5000
2017-07-10,TASK,2.6667
2017-07-11,NOTE,1.3333
2017-07-14,PUBLISHING_TASK,2.3333
2017-07-18,NOTE,1.0000
2017-07-21,NOTE,1.3333
2017-07-26,PUBLISHING_TASK,4.5000
2017-07-27,CALL,1.0000
2017-07-27,NOTE,1.3333
2017-07-27,TASK,1.0000
2017-08-02,TASK,6.5000
2017-08-05,PUBLISHING_TASK,3.0000
2017-08-07,NOTE,1.5000
2017-08-10,NOTE,1.5000
2017-08-11,CALL,2.0000
2017-08-26,PUBLISHING_TASK,66.0000
2017-08-31,NOTE,13.0000
2017-09-01,NOTE,12.5000
2017-09-02,NOTE,9.6667
2017-09-03,NOTE,16.5000
2017-09-04,NOTE,13.8000
2017-09-04,PUBLISHING_TASK,33.5000
2017-09-05,NOTE,13.8333
2017-09-06,NOTE,13.7143
2017-09-07,NOTE,13.8750
2017-09-08,NOTE,17.2222
2017-09-10,NOTE,15.9000
2017-09-11,NOTE,14.5455
2017-09-19,NOTE,13.3333
2017-09-20,NOTE,11.3333
2017-09-24,NOTE,1.7500
2017-09-26,NOTE,5.5000
2017-09-27,NOTE,19.8000
2017-09-28,NOTE,16.6667
2017-09-29,NOTE,14.5714
2017-09-30,NOTE,13.1250
2017-10-01,NOTE,11.7778
2017-10-02,NOTE,11.7000
2017-10-03,TASK,1.0000
2017-10-06,CALL,1.0000
2017-10-06,NOTE,12.6667
2017-10-06,TASK,1.0000
2017-10-10,NOTE,12.5000
2017-10-11,CALL,1.0000
2017-10-11,NOTE,6.7500
2017-10-11,TASK,1.0000
2017-10-12,TASK,1.2500
2017-10-17,NOTE,9.2500
2017-10-17,PUBLISHING_TASK,4.0000
2017-10-27,CALL,2.0000
2017-10-27,NOTE,1.0000
2017-10-30,TASK,2.0000
2017-10-31,TASK,3.0000
